,title,datetime,lat,long,url,rating,comment
12,吉朗彩绘木偶Geelong Baywall Bollards,2018-10-08 17:29:26,-38.143828,144.363267,/poi/33795452.html,5,"寻找与发现彩色木偶立像，是在Geelong旅行的一个小乐趣，这些原本普普通通、千篇一律的系船柱，在艺术家的笔下，有了衣着风格，有了职业属性，也有了喜怒哀乐。
跟木偶们玩得累了，就去停靠在岸边的船屋餐厅坐坐，点一份“渔夫的篮子”，漂浮在海上，品尝最正宗的fish and chips。"
13,湄江牛河屋,2018-10-08 17:04:31,-37.812393,144.964778,/poi/13004787.html,5,"克林顿曾在这里吃了两大碗牛肉河粉，光是这一点就很吸引我了。
重点是！真的超好吃！尤其是在吃过了很多澳大利亚食物后，中国胃实在是太想念亚洲的味道。
汤浓味美，加上柠檬汁和切段辣椒，一大碗酸酸辣辣的热汤下肚，大满足。"
14,澳大利亚维多利亚国家艺术馆The Ian Potter Centre: NGV Australia,2018-10-08 17:03:53,-37.81766,144.96997,/poi/7653191.html,5,艺术馆里有很多我喜欢的风格的现代艺术作品，大饱眼福，推荐。
15,Area Four,2018-10-08 17:03:28,-37.8137195097,144.961190857,/poi/26164886.html,5,"“我多么想和你见一面，在街角的咖啡店”。
路过这家咖啡馆的时候，脑海里很自然的浮现出这句歌词，大大的落地窗面对着街道，里面空无一人，对我有着莫名的吸引力。
走进店里，只见一男一女两个咖啡师在忙碌，依旧点了拿铁和piccolo，和简单的面包，随后坐在窗边。
不记得阳光是否是和咖啡一起端上了桌，总之，阳光、街角、咖啡、牛角包，一切自然而然，时间停止了。"
16,Brother Baba BudanBrother Baba Budan,2018-10-08 17:02:43,-37.813488,144.962081,/poi/6235238.html,5,"朝圣般走进Brother Baba Budan 咖啡馆，毕竟，在世界咖啡之都位列咖啡馆排行榜第三名，可不是一件容易的事。
咖啡馆不大，弥漫着咖啡香，大部分人都是take away，也坐满了人。点了一杯热拿铁和一杯piccolo，搭配了一块小肉桂糕点，咖啡拥有很细腻的口感，很动人的味道，糕点也毫不逊色，甚至好吃的有些惊喜。
店里最特别之处是挂满木椅子的天花板，大门的拉手是一个咖啡铲子，还有一些细节值亲自去探索。"
17,哈德维尔巷Hardware Lane,2018-10-08 17:01:24,-37.81324,144.96097,/poi/34098756.html,5,哈德维尔巷是咖啡街所在地，喜欢咖啡的你一定要去，毕竟，能把咖啡馆开出大排档气势的地方可不多。
18,ACDC LaneACDC Lane,2018-10-08 17:00:46,-37.815388,144.97116,/poi/52456068.html,5,"墨尔本的涂鸦很多，比较知名的两条涂鸦街是霍尔西巷和ACDC Lane，两者的关系形象比喻的话，有点像北京的南锣鼓巷与五道营胡同。
相比之下，ACDC Lane的涂鸦更多了一些创意和想法，有的还有故事情节，有一些简单的规划，乱中有序能抓到重点的感觉。这里比Hosier Lane涂鸦街人少很多，涂鸦也更好看。
而且人很少，环境也干净很多。"
19,涂鸦街（霍西尔巷)Hosier Lane,2018-10-08 16:59:33,-37.816419270143,144.96910139939,/poi/7685231.html,5,"墨尔本的涂鸦很多，比较知名的两条涂鸦街是霍尔西巷和ACDC Lane，两者的关系形象比喻的话，有点像北京的南锣鼓巷与五道营胡同。
霍尔西巷的涂鸦遍布面积更大，游客更多，涂鸦的风格和环境都略显杂乱。还好两条街离得不远，可以都去转转。"
20,威廉姆街橡树酒店Oaks on William,2018-10-08 16:58:38,-37.8111702,144.9563498,/poi/6492065.html,5,"酒店在墨尔本的商业区，步行可达各大商场和中国城，地理位置很方便。内部设施齐全，当时这里是墨尔本最新的酒店，整体干干净净的，住着很舒服。
酒店街对面是一个当地人会逛的小公园，高层视野也特别的棒
酒店的早餐用餐处是一家独立的咖啡馆，食物和咖啡都很棒。"
21,CBD Penthouse in the SkyCBD Penthouse in the Sky,2018-10-08 16:57:22,-37.814647130564,144.95355194159,/poi/21095947.html,5,"在一个公寓楼的最顶层，被形容为""CBD Penthouse in the Sky""一点都不为过。大概是晚上8点入住，一进门就看到粉色的天空，眼睛直勾勾的直奔阳台，被窗外的墨尔本夜景美得一塌糊涂。
卧室的床就在落地窗旁边，躺在床上就像躺在天空中，好像翻个身就能飘起来（恐高症就算了）。
房间内是极简风的装修布置，设备一应俱全，还配有蓝牙音响，进门的时候播放着音乐，是额外的惊喜。民宿就在市中心，对面就是南十字星火车站，去哪里都方便，周围吃吃喝喝的也都有，这是我澳大利亚全程最爱的民宿了，强烈推荐。"
22,The Coffee Club - Cavill MallThe Coffee Club,2018-10-08 16:54:57,-28.002016,153.429459,/poi/14091819.html,5,"""Where will I meet you?""
""The Coffee Club.""
The Coffee Club是澳大利亚的一个连锁咖啡品牌，初次进店是因为看到了店铺里的这句话，有种老友约见的心情，心生喜爱。每每路过都有很多人排队，类似于当地的星爸爸。
除了好喝的咖啡，还有种类丰富的早餐。
在黄金海岸三天，两天的早餐都是在这里吃的。"
23,冲浪者天堂海滩集市Surfers Paradise Beachfront Markets,2018-10-08 16:53:15,-28.004095464625,153.43189126092,/poi/7668598.html,5,"Beachfront Market是我在黄金海岸的日子里最喜欢的部分，市集里的摊位各有各的创意，不落俗套。很多手工制作的小物，不同材质的首饰，现场创作的艺术画，手工香皂，自酿啤酒，不同创意的工艺品，整体水准很高。
沙滩市集时间：周三，周五和周日的4pm-9pm。
最喜欢的一个摊位，老板十分有创意，他收集了世界各地的钱币，以钱币的不同花样为基础图案，纯靠手工打磨，将硬币变成了一个个精致的项链。
每一个都很好看，我都选花眼了，最后买了8个……可怕，这个市集会吃钱包。
大叔得知我是中国人，提到他有制作毛爷爷项链，特别火，一做出来就被一抢而空了。"
24,黄金海岸芒特拉圈卡维尔酒店Mantra Circle on Cavill Gold Coast,2018-10-08 16:50:34,-28.001335784171,153.42697709799,/poi/87857.html,5,"最值得称赞的是酒店的视野，透过全落地窗可以直接看到黄金海岸的海岸线，以及通往黄金海岸最繁华的路。
圣诞节期间，打开阳台大门，就可以感受到远处传来的热烈节日气氛。房间很大，开party都够用。"
25,兴格尔因锡蒂霍尔(市政厅店)Shingle Inn City Hall,2018-10-08 16:49:13,-27.468968,153.023516,/poi/59039112.html,5,"布里斯班市政厅一层的这家很特别，整个店面的装修是复原了第一家店的样子，并且回收再利用了第一家店的家具和设备。
为了配合咖啡馆的复古气氛，点了菜单里的传统咖啡、传统蛋糕和传统的炸鱼薯条，味道都很不错。"
26,龙柏考拉动物园Lone Pine Koala Sanctuary,2018-10-08 16:47:29,-27.5337818,152.968815,/poi/6300129.html,5,"血和泪换来的重点：想要抱考拉拍照，一定要早早的去排队！
我到了以后看到排队的人太多，就想着先在动物园里转一圈，等人都走了再来拍，万万没想到，抱考拉的票数是固定的，9点开始售票，售完即止，等我逛一圈回来，票都卖完了……就这样错过了抱考拉……生气。
错过抱考拉的我，只能在饲养员的陪伴下，跟考拉合个影。
动物园里另一个重要的朋友就是袋鼠啦，从电视上看袋鼠，觉得它们都很机敏，反应快，蹦来蹦去的，动物园里看到的普遍比较懒，随地一摊，凹出沙滩上比基尼少女的造型。
动物园里有很多项目是有时间安排的，比如牧羊犬表演。
入园的时候看看演出时间表，合理安排时间。"
27,布里斯班市政厅Brisbane City Hall,2018-10-08 16:39:48,-27.468931,153.023543,/poi/5443034.html,5,"市政厅是我觉得性价比特别高的一个景点，韵味十足的老市政厅建筑，可以乘坐最古老的电梯登顶，360度欣赏城市风光，内部有很棒的展览，科技的一面让人童心大发，名为100%Brisbane的展览，则展现着这个城市人情味的一面。
一个很简单的灯光秀，乐趣却很大。
黑色帷幕除了会模仿你的动作，还会配合一些蝴蝶飞来，光影环绕的特效，大概2分钟的时间，配合着一段欢快的音乐，感觉自己是冰雪奇缘里的公主。
100%Brisbane的展览，是我见过最棒的将大数据与艺术相结合的展览，结合大数据，以测试、动画、音频、插画等等表现方式，让参观展览的我像是在玩一个“了解布里斯班”的游戏，这个城市有多少人跟我一样高，有多少人和我一样喜欢养宠物，有多少人支持同性恋，有多少人生活在离异家庭等等。
与我相关，与城市相关，在逐渐深入的了解过程中，建立了我对布里斯班的感情。
展览里的测试环节，分为三个部分，关于我，关于我的生活，关于我与世界，测试结束，会看到布里斯班有多少比例的人与我有着共同的答案，有着最相近的想法。如果现场会有连线就好了，一定要约对方喝个咖啡。"
28,昆士兰美术馆Queensland Art Gallery,2018-10-08 16:37:31,-27.472897167605,153.01807317791,/poi/6300132.html,5,"喜欢逛美术馆和博物馆的人一定要去昆士兰现代艺术中心，布里斯班的大部分展馆都集中在这里，还有各种歌舞剧的表演馆，展览和周边小店都很值得逛。
馆内提供画板和铅笔橡皮，供参观者写下或者画下关于澳大利亚艺术收藏的看法。
无比幸运的是，恰巧赶上波点女王草间弥生在布里斯班艺术馆开展的时间，近距离欣赏了很多波点艺术品，油画、雕塑和装置艺术皆有。
尤其喜爱“The Obliteration Room”装置艺术，这里原本是一个纯白色的房间，从天花板、墙壁、地板，到沙发、餐桌、橱柜全部都是一片纯净的白色。每个入场的参观者都会拿到一张贴纸，上面是大小颜色各异的圆形图案，走进房间后，你可以将这些圆形贴纸贴在空间里的任何地方。
大家的创意无限，除了在已有的墙面桌面以及各种物品上贴满波点，还用波点创造出了很多“实物”。
当然，你也可以在自己身上贴出好看的图案，但是所有的波点贴纸都是装置艺术的一部分，是不让带出现场的。贴上拍拍照就好。"
29,LongtimeLongtime,2018-10-08 16:34:29,-27.459259,153.0339,/poi/58698176.html,5,"食物很好吃很好吃很好吃，气氛特别棒特别棒特别棒，服务特别好特别好特别好，调酒师特别帅特别帅特别帅，调出来的酒好喝又有创意，还想要啥？
用餐时段人很多，我们去的时候已经没座位，被安排到了吧台，本来想说你们提前预约下座位吧，否则要坐吧台，但在吧台可以近距离欣赏调酒师啊，还预约什么鬼座位。"
30,Milk Box Coffee & TuckshopMilk Box Coffee & Tuckshop,2018-10-08 16:33:18,-27.457223,153.031928,/poi/59039016.html,5,像是集装箱改造的，老板两个人看上去冷酷脸，实际上特别热情。咖啡好喝，点了三杯。
31,皇家植物园TheRoyalBotanicGardenSydney,2018-10-08 16:28:29,-33.8641859,151.2165708,/poi/17651.html,5,"皇家植物园是一个有很多种植物的大花园，可以坐着小火车快速的浏览一圈，然后再去喜欢的地方多待一会儿。尤其推荐园内的咖啡馆，咖啡很好喝，三明治也很棒，不记得咖啡馆的名字了，反正园内就那一家，周边还有纪念品店，纪念品的设计和品质都很高，很值得逛。
买了咖啡和三明治，找一块树荫下的草坪坐着，看着周围人在草坪上休闲玩乐，很澳大利亚的生活方式，也是这一天里觉得最舒服的时刻。
吃饱喝足往后一仰，躺在舒适清凉的草坪上，看着头顶的云慢慢从树叶缝隙中飘过，一朵又一朵，别提有多惬意了。"
32,悉尼歌剧院Sydney Opera House,2018-10-08 16:26:25,-33.856748265966,151.21530259392,/poi/17113.html,5,"悉尼歌剧院被称为设计新颖的表现主义建筑，设计师的灵感源于剥橘子这个动作，14瓣的建筑可以拼合而成一个完美的球体。
内部参观的时候可以看到设计想法的视频展现，更加浅显易懂，能一下子感受到它的魅力。
光滑的黄白色相间的（不是纯白色）有人字纹路的瓷砖，具有自洁功能，设计者实在是明智，否则不知道后人每天要花多少时间在清理鸽子屎上……
阳光照在建筑上，闪闪发光，简直是澳大利亚最亮的星。"
33,悉尼威斯汀酒店 The Westin Sydney,2018-10-08 16:24:37,-33.867717125171,151.20772319511,/poi/7408398.html,5,"跨年的时段选择了悉尼威斯汀酒店，在CBD核心区域，去哪儿都不远，距离跨年烟火观赏点步行可达，很方便，毕竟遇到这种大型活动，交通是一个很麻烦的问题。
酒店内部有一个“SORRY THANKS I LOVE YOU.COM”的实体店，里面东西不要太好逛。"
34,Pony Lounge & Dining,2018-10-08 16:23:15,-33.859091,151.20835,/poi/13493616.html,5,"刚好有一桌客人吃完离开，没人在排队，可以直接用餐，很幸运了。隔壁桌是一群当地人在过生日，氛围特别好，我还跟着一起鼓着掌唱了生日歌。
早就听说澳洲的牛肉特别美味，做好了充足的心理准备，没想到还是被好吃到眼睛发亮，重点推荐这道brisket，太！好！吃！了！
隔壁桌因为过生日点了很多份甜品，我就机智的问他们哪一个最好吃，他们推荐了巧克力慕斯加樱桃和树莓，巧克力不太甜，树莓酸酸的，很好吃～"
35,悉尼四季酒店Four Seasons Hotel Sydney,2018-10-08 16:19:46,-33.861653931556,151.20785415173,/poi/30747.html,5,"酒店里是浓浓的圣诞气息。值得一提的是，酒店大堂内的装饰画都是艺术家的作品，像参观艺术馆一样，每一幅画的右下角写有作品信息和价格，如果对画感兴趣，还可以去三层的画廊咨询购买。
酒店位于岩石区，离悉尼歌剧院和海港大桥都很近，拍照是很棒的角度。酒店旁边有一家免税店和很多可以逛的小店铺，有一家设计师集合店的名字叫“SORRY THANKS I LOVE YOU.COM”"
36,十二门徒直升机12 Apostles Helicopters,2018-10-08 16:11:29,-38.660045815767,143.10597855585,/poi/34057528.html,5,"大洋路被称为“世界上风景最美的海岸公路”，而十二使徒岩是这条路上当之无愧的明星，曾被誉为“人生必须游历的10处景观之一”，但这些并不是最吸引我的部分，反而是听到曾经的十二使徒现在只剩下了七个，而有一天这些巨石会全部消失，才决定坐直升飞机看看它。那一刻好像有一个橡皮擦和一支笔在脑海里，擦掉了”壮阔“二字，重新写上”悲壮“，在这正在进行的悲壮的消失进程里，看到的每一眼风景，都会成为历史。
往返共25分钟的飞行，前半程天很阴，甚至落了几滴小雨，给“悲壮”加了一层特效。
回程的时候，天气逐渐放晴，眼前的海岸与巨石随之变幻了色彩，突然一个有趣的想法跳进脑袋“上帝的大蛋糕”，你看，这一片巨大的海上陆地，这一块块随机矗立的岩石峭壁，多像随手一挖，一口一口被吃掉的蛋糕啊。抱着这样的新发现，心情轻松了不少，回程的路变成了蛋糕发现之旅，多了很多的乐趣～
除了壮阔的海岸景观，飞机调转方向的时候，还会途径一大片牧场，从高空俯瞰，黑色的牛群和白色的羊群就像撒在金色脆薄饼上的黑白芝麻。
飞机降落后，工作人员动作十分迅速的放下脚蹬、打开舱门、解开安全带、摘下耳麦，把我们“解救”下飞机，护送我们离开飞机，动作一气呵成，而我默默的脑补了一场被恐怖分子劫持的我成功被复仇者联盟解救的大戏。"
37,悉尼海港大桥Sydney Harbour Bridge,2018-10-08 16:05:21,-33.8523063,151.2107871,/poi/17120.html,5,"悉尼海港大桥是被称为世界第一的单孔拱桥，绝对的悉尼地标，在悉尼的明信片届与悉尼歌剧院平分秋色，造型的原因，当地人喜欢叫它“大衣架”，感觉可以和我们的“大裤衩”组成一个组合。
最值得一提的是，海港大桥是世界上唯一允许游客爬到拱桥顶端的大桥，成功登顶后还会收到一份像模像样的攀桥证书，算是我的新年第一证了～
澳大利亚的日出很早，我们选择了早上4:45的时段攀登，是当天第一批登顶的游客，只为了看到新年的第一个日出。由于攀登大桥的过程，脚下就是川流不息的车水马龙，安全因素的考虑，游客是不可以携带任何会脱落的东西上桥的，相机手机都不可以，甚至手表和手环都要摘下来，导览人会负责全程的拍照工作。因为如此，反而有了专注的眼光，心无旁骛的尽情俯瞰整个悉尼，静静看着太阳从悉尼歌剧院的身后，从海天的尽头缓缓升起，像是一位日出仪式的参与者，而不是一位记者。
攀登悉尼海港大桥的中外明星很多，发现了我喜欢的志玲姐姐和卷福～
带领我们登顶的大叔，还在顶端给我们加了个戏，询问整个小分队是否有人12月和1月过生日，我就是12月份过生日的那一个呀，于是来自5个国家的14个人就在大桥顶端高声唱起了生日歌，5个国家的生日歌一起唱，可以说是又混乱又好笑了。
攀登大桥的时段有很多，推荐日出时段和日落时段，一方面可以避开强烈的高温日晒，另一方面这两个时段真的很美。"
38,Go Ride A Wave Surfers ParadiseGo Ride A Wave Surfers Paradise,2018-10-08 15:58:43,-28.00178,153.42804,/poi/52864592.html,5,"冲浪者天堂有很多提供冲浪课程的机构，看了很多眼花缭乱的宣传册，最后选择了当地人推荐的一家叫“Go Ride a Wave”，是1987年就成立的冲浪学校，教练很认真负责，推荐。
建议选择2个小时的课程，1个小时完全不够玩，冲浪太有趣了！2个小时里，主要学习和练习两个技能，一个是浪冲过来时，迅速将冲浪板放在海浪上，整个人匍匐在冲浪板上，抬起上半身，（帅气的）感受着海浪把你推向岸边的速度，然而现实的情况是，冲浪板实在是太沉了，海浪比时光还匆匆……好不容易等来一个合适的海浪，刚把冲浪板放上，人还在水里，浪……走了……嗯……幸好在教练的帮助下，成功了两次，当时真的感觉自己酷翻了！"
39,黄金海岸海滨道Gold Coast Oceanway,2018-10-08 15:51:02,-27.940503222833,153.42572431779,/poi/7653198.html,5,"他拥有其它城市的一切，却多了十分的热辣与热情。这里的圣诞节是穿着沙滩热裤驾着冲浪袋鼠的圣诞老人，是街头巷尾戴着圣诞帽的比基尼和六块腹肌，是沙滩上的音乐烟火晚会，是走在街上时不时被祝圣诞快乐的快乐，是圣诞颜色的鸡尾酒。
酒店楼下遇到一群正在为圣诞节排练的男孩儿女孩儿，每个人都有一段solo，各自施展独门绝技，每一段结束都引来围观群众和团队的阵阵欢呼，大家都笑的超级开心，这样的笑声，在圣诞色的衬托里，在阳光下，在黄金海岸的热浪中，成为了一股快乐的力量，或者说像一记快乐的重拳，打在我心上。
圣诞前夜，通往海滩的路灯火通明，却没什么人，只有远方传来阵阵齐声的歌声和欢呼声，我们跟随着歌声的指引，原来整个城市的人都聚集在沙滩上了。在沙滩上席地而坐，很快就融入了这热烈的气氛里，耳朵里是不同版本的圣诞歌曲，眼睛里是漫天的烟花绽放，此刻呀，圣诞快乐。"
40,Old TowerOld Tower,2018-08-17 10:32:55,55.756774,37.620421,/poi/50009296.html,5,"古堡餐厅就在红场附近，建筑外观和内部环境都很复古，坐在窗边还有很好的视野。上餐前，服务员先为我们点了个蜡烛，简单的一餐突然就变得有气氛，仪式感的重要性随处可见。
依然是俄餐，但这家有很多种馅的饺子，看到了熊肉、鹿肉、兔肉馅，还有土豆馅饺子？以及樱桃馅饺子？？？"
41,Le Pain QuotidienLe Pain Quotidien,2018-08-17 10:23:25,55.757164,37.622658,/poi/50009236.html,5,"这家有一个十分特别的早餐，叫kuku sabzi，是波斯风味的omelette，鸡蛋里混合着菠菜，欧芹，韭菜，圆葱，香草，龙蒿等等……看菜单的时候十分犹豫，这得是什么味儿啊，早上吃这么重口味真的好么……猎奇使我不顾一切……
结果意外的好吃，概括的说是有一些辛辣香料味儿的鸡蛋饼。
临走买了巧克力牛角包，本来为了配咖啡，后来它抢了咖啡的戏份，绝对是我吃过的最好吃的巧克力牛角包！外皮酥脆，内里有韧性，巧克力不太多但味很浓，好吃到我还买了一个带回北京……"
42,57号餐厅No.57,2018-08-17 10:14:43,55.754227,37.622917,/poi/6262296.html,5,"stolovaya 57是在古姆国立百货三层的一家餐厅，也叫57号食堂，是前苏联时期的自助餐厅，性价比很高的俄餐，很好找，三层排队队伍最长的就是它家了。
选餐的方式很宜家，从前菜开始，一路选到主菜，最后结账。菜品有中文名字备注，但翻译很考验人的想象力，不过能看出来翻译的人也尽力了。
同伴点了酸奶，超好喝，好喝到回了酒店她还在说“今天的酸奶好好喝啊”。
卷心菜包牛肉很入味儿，全场我最喜欢，藜麦饭健康又好吃。
烤苹果也特别推荐，第一次见到这种做法，看到餐厅里人手一份，酸酸甜甜的，比蛋糕什么的健康很多的餐后甜品。"
43,PanayekhaliPanayekhali,2018-08-17 10:13:10,55.747135,37.581707,/poi/38433820.html,4,"在莫斯科最最最喜欢的一家俄式餐厅。
复古与明艳搭配的刚好，
椅子有不同的图案，
老皮箱组成了吧台，
食物突出的美味。
只是，上菜贼慢。
可是，好东西总值得等待。
店里有英文菜单，也有一个更简单的点餐方法，菜单上列出了推荐top4，我们就直接点了1，2，3，4，每一个都很好吃，放心的点吧。"
44,古姆国立百货商店GUM,2018-08-17 10:10:21,55.7546967,37.6215216,/poi/87708.html,5,"97岁的百货商店，透着底气十足的优雅，进驻的品牌更像是陪衬，更多人来这里并不是为了逛商场，而是为了参观商场。
一层超市的食品区，有很多俄罗斯特色美食，看起来都好像很好吃，我买了一个法棍，是在俄罗斯全程吃过的最好吃的法棍。"
45,国家历史博物馆StateHistoryMuseum,2018-08-17 10:10:02,55.755334,37.6178474,/poi/88531.html,5,一直以来对俄罗斯的历史都没有什么了解，也没什么机缘去了解，所以，在得知国家历史博物馆涵盖了俄罗斯的千年历史时，就来了。
46,无名烈士墓Tomb of the Unknown Soldier,2018-08-17 10:09:04,55.754853187465,37.616115186508,/poi/93381.html,5,"走过这里，站了一会儿，脑海里飘着《寻梦幻游记》的主题曲。
燃烧着无名火的五角星下，有一段铭文“你的名字无人知晓，你的功绩永世长存”。"
47,圣瓦西里升天教堂TheCathedralofVasilytheBlessed,2018-08-17 10:08:35,55.7525229,37.6230868,/poi/87583.html,5,"圣瓦西里升天教堂是莫斯科绝对的地标，很多人都是通过这个教堂留下对莫斯科的第一印象。
童话般的教堂外貌，却拥有一个十分不童话的传说，传说中教堂建成后，伊凡雷帝为了不让建筑师再造一座比它更漂亮的教堂，于是便下令弄瞎了他的眼睛……
教堂内部每一个穹顶都很美，一定要抬头看。很喜欢教堂内的壁画花纹。
从教堂二层更能感受古姆国立百货的美，以及永远人潮涌动的红场。"
48,克里姆林宫The Moscow Kremlin,2018-08-17 10:07:07,55.7520233,37.6174994,/poi/87585.html,5,"克里姆林宫是一组建筑群，在莫斯科的地位相当于北京的故宫，已被评为世界文化遗产。这里有很多教堂可以参观，很多建筑可以拍。
下午五点，仪仗队开始表演，时长大概20分钟，有乐队，有马术，有很多帅气的小哥哥。"
49,红场The Red Square,2018-08-17 10:06:35,55.753926565691,37.620795121357,/poi/87582.html,5,"红场是莫斯科的中心区域，西边是克林姆林宫，东边为古姆国立百货，南侧是圣瓦西里升天大教堂，北边是国家历史博物馆，推荐住在红场附近，每天都可以感受莫斯科最热闹最精华的一面。
凌晨12点的红场，世界杯期间的俄罗斯，每天都像在过节。"
50,特列季亚科夫画廊TretyakovGalleryonKrymskyVal,2018-08-17 10:05:08,55.741389,37.6208639,/poi/5529607.html,5,"莫斯科所有的展馆里，最喜欢这里，所有的作品里，最喜欢的是《安坐的恶魔》。
看到其中一幅画的第一反应就是去看创作时间，现代感的画风在整个展馆里都显得异常突出，这是画家季·谢列布里亚科娃在1909年创作的作品，也是她的第一幅油画作品。"
51,普希金艺术博物馆Pushkin State Museum of Fine Arts,2018-08-17 10:04:06,55.746601,37.605123,/poi/93390.html,5,"普希金美术馆就在基督救世主大教堂的马路斜对面，适合放在一天去，附近有看上去很不错的咖啡馆，我去的时间有点赶，没来得及坐坐，还挺遗憾的。
如果上午先去教堂看城市风景，中午在咖啡馆坐着吃个午餐，下午再去普希金美术馆看看城市精神，慢慢走慢慢看慢慢喝咖啡，会是很美妙的一天。
大部分文字讲解是俄文，完全看不懂。馆内可以租中文的讲解器，建议租一个。"
52,基督救世主大教堂Cathedral of Christ the Savior,2018-08-17 10:02:23,55.744642,37.605494,/poi/88472.html,5,"莫斯科的云很美，像是千万幅油画中的云飘在天上，是我看过最盛大的展览。
如果你也想看这场展，一定要去救世主大教堂，登顶到最高处，360度的观光台，可以尽情欣赏莫斯科的每一个角度。
独特的是，360度的观光台被平均分成了四份，走过通道，上楼梯，看到四分之一的莫斯科；再下楼梯，穿过通道，上楼梯，看到另外四分之一的莫斯科，如此四次，才能看到完整的她，这样的设计，给了这场城市俯瞰旅行，十足的期待和仪式感。"
