肉餅哥小炒料理 Meat Pie Gor,311,荃灣聯仁街28號康睦庭園地下3號舖,$50以下,粵菜 (廣東),中菜館,(448 食評),13986,最優秀荃灣/葵青開飯熱店
太和殿海鮮火鍋 Palace Seafood Hot Pot,71.0,元朗建德街33-35號時景花園地下1-2號舖,$101-200,火鍋,潮州菜,(85 食評),1300,
唐宮小聚 Social Place,54.0,荃灣楊屋道1號荃新天地1期UG層43及81號舖,$101-200,粵菜 (廣東),點心,(95 食評),3150,
蒸廬 The Steam Hut,66.0,沙田石門安群街3號京瑞廣場一期2樓225號舖,$51-100,粵菜 (廣東),湯品,(75 食評),1171,
裕記大飯店 Yue Kee Restaurant,149.0,深井深康路9號地舖,$101-200,粵菜 (廣東),燒臘,(307 食評),3534,
勝記海鮮酒家 Sing Kee Seafood Restaurant,85.0,西貢西貢大街33-39號地舖,$201-400,粵菜 (廣東),海鮮,(127 食評),5457,
漁民麵館 Fisherman,48.0,元朗擊壤路9號金寶大廈4號地舖,$50以下,粵菜 (廣東),粉麵/米線,(97 食評),3801,
點饌 Dum Sum Deluxe,52.0,沙田石門安群街3號京瑞廣場1期2樓237號舖,$51-100,粵菜 (廣東),點心,(70 食評),1844,
Drink氣鍋,57.0,火炭坳背灣街38-40號華衛工業中心地下4號G舖,$201-400,粵菜 (廣東),火鍋,(62 食評),566,
大鍋口海鮮火鍋店 Giant Seafood Hot Pot,72.0,荃灣眾安街55號大鴻輝(荃灣)中心16樓全層,$101-200,火鍋,潮州菜,(140 食評),7545,
囍慶酒樓 Happiness Cuisine,66.0,沙田白石角香港科學園1期科技大道西1號核心大樓2座2樓S101-S106號舖,$101-200,粵菜 (廣東),點心,(106 食評),923,惠顧晚膳滿港幣500元可享9折
全記點心專門店,63.0,荃灣兆和街16號地舖,$51-100,粵菜 (廣東),點心,(84 食評),1749,
生昌潮州海鮮酒家,102.0,大圍下徑口村151號地下 (田心警署對面),$101-200,潮州菜,海鮮酒家,(170 食評),4828,
龍華酒店 Lung Wah Hotel,126.0,沙田下禾輋村22號,$101-200,粵菜 (廣東),燒臘,(342 食評),5240,
全記海鮮菜館 Chuen Kee Seafood Restaurant,116.0,西貢萬年街87-89號地下,$201-400,粵菜 (廣東),海鮮,(233 食評),2828,
彩福皇宴 Choi Fook Royal Banquet,35.0,沙田石門安群街3號京瑞廣場一期3樓,$101-200,粵菜 (廣東),海鮮,(55 食評),1497,
紫粵軒 Tze Yuet Heen,50.0,將軍澳唐德街3號香港九龍東皇冠假日酒店2樓,$201-400,粵菜 (廣東),火鍋,(82 食評),3878,提供網上訂座
新斗記 Xin Dau Ji,45.0,荃灣大壩街4-30號荃灣廣場6樓615-620號舖,$201-400,粵菜 (廣東),燒臘,(82 食評),1383,
方姐湛江雞,28.0,元朗裕榮徑11號好旺洋樓地下13-15號鋪,$51-100,潮州菜,粵菜 (廣東),(30 食評),676,
端記茶樓 Duen Kee Chinese Restaurant,79.0,荃灣荃錦公路川龍村57-58號,$50以下,粵菜 (廣東),點心,(167 食評),3875,
好湯好麵 Hao Tang Hao Mian,29.0,大圍積存街20號地舖,$51-100,粵菜 (廣東),粉麵/米線,(42 食評),2928,
囍慶 Happiness Cuisine,33.0,大圍車公廟道69號顯徑商場A翼3樓301A號舖,$101-200,粵菜 (廣東),點心,(43 食評),199,
一哥點心 Yat Gor Dim Sum,33.0,元朗教育路89號鴻發大廈地舖,$51-100,粵菜 (廣東),點心,(57 食評),1209,
砂煲兄弟 Casserole Buddies,35.0,將軍澳重華路8號東港城1樓101號舖,$51-100,粵菜 (廣東),中菜館,(45 食評),818,
半島漁港/阿翁火鍋館 Peninsula Cuisine / Ah Yung Hotpot Cuisine,28.0,荃灣眾安街68號荃灣千色匯1期6樓,$101-200,粵菜 (廣東),火鍋,(36 食評),658,
彩龍茶樓 Choi Lung Restaurant,97.0,荃灣荃錦公路川龍村2號,$51-100,粵菜 (廣東),點心,(168 食評),3111,
鳳城皇宴 Fung Shing Restaurant,27.0,屯門海珠路2號地下1-3號舖,$51-100,粵菜 (廣東),燒臘,(30 食評),288,
利苑酒家 Lei Garden,74.0,沙田沙田正街18號新城市廣場一期6樓628 &631,$201-400,粵菜 (廣東),點心,(130 食評),2468,
六福菜館 Loaf On,97.0,西貢市場街49號地舖,$201-400,粵菜 (廣東),海鮮,(129 食評),4721,
殷悅 YinYue,50.0,荃灣荃華街3號悅來酒店30樓,$101-200,粵菜 (廣東),點心,(97 食評),2437,指定套餐半價；自選餐牌85折
八月 Jasmine Garden,40.0,屯門屯門鄉事會路83號V City商場MTR層M-50號舖,$101-200,粵菜 (廣東),點心,(88 食評),1576,
建榮特色桑拿菜火鍋店,31.0,屯門建榮街32號建榮熟食市場地下C6號舖,$101-200,粵菜 (廣東),火鍋,(33 食評),192,
彩福皇宴 Choi Fook Royal Banquet,28.0,荃灣眾安街55號大鴻輝(荃灣)中心6樓,$101-200,粵菜 (廣東),海鮮,(34 食評),720,
利小館 Lei Bistro,45.0,屯門屯門鄉事會路83號V City商場MTR層37號舖,$101-200,粵菜 (廣東),海鮮,(97 食評),1128,
粵 YUE,40.0,屯門青山公路1號香港黃金海岸酒店低層地下,$201-400,粵菜 (廣東),點心,(71 食評),1504,自選餐牌食品85折（星期一至五；指定日子不適用）
文記火鍋 Man Kee Catering,23.0,大圍積信街69-75號立和樓地下B舖,$101-200,粵菜 (廣東),火鍋,(33 食評),1160,9折
潮庭 Chiuchow Garden,16.0,沙田沙田正街18號新城市廣場一期8樓801B號,$101-200,中菜館,潮州菜,(49 食評),2005,
茶煲 Tea Pot,24.0,將軍澳寶琳北路18號寶林商場3樓1C號舖,$101-200,粵菜 (廣東),火鍋,(34 食評),585,
明珠閣 Pearl Delight,52.0,沙田沙田正街18號新城市廣場一期127號舖,$101-200,粵菜 (廣東),點心,(99 食評),1468,
青葉海鮮酒家 Holly Restaurant,13.0,屯門青山公路新墟段199號好勝大廈地舖,$101-200,粵菜 (廣東),點心,(27 食評),237,
八月 Jasmine Garden,21.0,沙田沙田鄉事會路138號Home Square 1樓117號舖,$101-200,粵菜 (廣東),點心,(48 食評),1616,
富臨皇宮 Fulum Palace,24.0,上水天平路48號天平邨天平商場2樓201號舖,$101-200,粵菜 (廣東),咪嘥嘢食店,(41 食評),189,
潮洲滷 Chao Zhuo Lu,33.0,葵芳智芳街地下A7號舖,$50以下,潮州菜,潮州菜,(37 食評),388,
海港酒家 Victoria Harbour Restaurant,49.0,將軍澳貿業路8號新都城中心1期2樓208號舖,$101-200,粵菜 (廣東),火鍋,(105 食評),1132,
三門仔漁夫火鍋點心專門店 Sam Mun Tsai Fusion Restaurant,33.0,葵涌石籬大隴街107號至109號昌榮樓地下3號舖,$101-200,粵菜 (廣東),火鍋,(42 食評),1065,送 25里數 / 30積分
勝利牛丸 Victory Beef Ball,32.0,元朗谷亭街傑文樓地下1號舖,$50以下,粵菜 (廣東),粉麵/米線,(67 食評),861,
富臨皇宮 Fulum Palace,29.0,葵芳榮芳路恆景花園商場2樓201-204號,$101-200,粵菜 (廣東),點心,(42 食評),375,
澳門街水蟹粥雞湯米 Pho Real Macau Street Water Crab Porridge Chicken Noodles,18.0,元朗鳳攸南街3號好順景大廈地下2座地下18號舖,$50以下,粵菜 (廣東),粉麵/米線,(27 食評),1458,
興記 Hing Kee,88.0,屯門三聖村熟食亭地下2號舖,$201-400,粵菜 (廣東),海鮮,(159 食評),2208,
新斗記 Xin Dau Ji,38.0,屯門屯隆街3號屯門市廣場一期2樓2190A舖,$201-400,粵菜 (廣東),燒臘,(78 食評),953,
富臨皇宮 Fulum Palace,21.0,沙田石門安群街1號京瑞廣場二期2樓201號舗,$101-200,粵菜 (廣東),點心,(55 食評),744,
容龍海鮮酒家 Dragon Inn Seafood Restaurant,86.0,屯門青山公路19咪半,$201-400,粵菜 (廣東),海鮮,(135 食評),3546,
海鮮島海鮮酒家 Seafood Island Seafood Restaurant,101.0,西貢清水灣布袋澳7號B舖,$201-400,粵菜 (廣東),海鮮,(152 食評),1205,
海港酒家 Victoria Harbour Restaurant,14.0,荃灣青山公路荃灣段388號中國染廠大廈(8咪半)7樓701-703號舖,$101-200,粵菜 (廣東),火鍋,(35 食評),1600,
嘉麗園潮州粉麵餐廳 Ka Lai Yuen Chiu Chow Restaurant,95.0,元朗康景街利景樓5號地下,$50以下,中菜館,潮州菜,(169 食評),2930,
潮庭 Chiu Chow Garden,15.0,葵芳興芳路223號新都會廣場5樓511至530號舖,$101-200,中菜館,潮州菜,(33 食評),1706,
潮江春 Chiuchow Garden Restaurant,17.0,荃灣大壩街4-30號荃灣廣場5樓536-539號舖,$101-200,潮州菜,點心,(36 食評),1348,
南記海鮮飯店 Nam Kee Restaurant,45.0,屯門三聖邨食亭地下1-4號舖,$201-400,粵菜 (廣東),海鮮,(88 食評),1698,
正斗粥麵專家 Tasty Congee & Noodle Wantun Shop,35.0,沙田沙田正街18號新城市廣場一期1樓119號舖,$51-100,粵菜 (廣東),粉麵/米線,(54 食評),819,
稻香訓練酒樓 Tao Heung Training Restaurant,26.0,火炭坳背灣街13號鍾偉平大樓地下,$101-200,粵菜 (廣東),海鮮,(46 食評),1620,
三和火鍋雞煲,32.0,上水石湖墟新街市二樓CF23號舖,$101-200,粵菜 (廣東),火鍋,(40 食評),1309,
富臨皇宮 Fulum Palace,25.0,馬鞍山鞍駿街23號迎濤灣商場1樓6&7號舖,$101-200,粵菜 (廣東),點心,(39 食評),286,
富臨漁港囍臨門酒家 Fulum Fisherman’s Wharf Restaurant & Pleasant Palace,28.0,沙田瀝源街7號沙田娛樂城4樓,$101-200,粵菜 (廣東),火鍋,(67 食評),335,
東海薈 •  拉斐特 East Ocean‧Lafayette,25.0,青衣青敬路33號青衣城1樓117號舖,$201-400,粵菜 (廣東),海鮮,(46 食評),769,訂座可享午市主餐牌85折
王子私房菜 Prince Kitchen,11.0,元朗元龍街9號形點一期1樓1045-1046號舖,$101-200,粵菜 (廣東),順德菜,(24 食評),889,
海天花園酒家 Hoi Tin Garden Restaurant,59.0,屯門青山灣三聖邨三聖街5號,$201-400,粵菜 (廣東),海鮮,(138 食評),1392,
金悅軒 Golden Cuisine,23.0,火炭坳背灣街2-12號威力工業中心地下C號舖,$50以下,粵菜 (廣東),火鍋,(36 食評),313,
餃子館 Dumpling Kun,12.0,天水圍天湖路1號嘉湖新北江商場地下A106號舖,$50以下,粵菜 (廣東),粉麵/米線,(29 食評),479,
潮庭 Chiuchow Garden,15.0,將軍澳唐德街9號將軍澳中心2樓220A及220B號舖,$101-200,中菜館,潮州菜,(32 食評),1222,
傲嚐 Pride Team Limited,29.0,荃灣柴灣角街83號榮興工業中心4樓409室,$201-400,粵菜 (廣東),海鮮,(53 食評),3020,
鴻星海鮮酒家 Super Star Seafood Restaurant,16.0,元朗朗日路8號形點二期3樓A301-A302號舖,$101-200,粵菜 (廣東),點心,(39 食評),931,
蘇記流心燉蛋專門店,13.0,元朗鳳攸東街9號好順意大廈A座地下15號舖,$50以下,粵菜 (廣東),甜品/糖水,(27 食評),1369,
沙田強記雞粥 Shatin Chicken Congee,52.0,大圍積存街12號地下,$50以下,粵菜 (廣東),粉麵/米線,(111 食評),2025,
海港酒家 Victoria Harbour Restaurant,13.0,天水圍天華路30號T Town South2樓S224號舖,$101-200,粵菜 (廣東),火鍋,(34 食評),436,
正記菜館,36.0,元朗金輝徑28號好盛洋樓地下4號舖,$51-100,粵菜 (廣東),大牌檔,(63 食評),1200,
鄧媽媽過橋水餃,34.0,葵芳葵富路7號葵涌廣場2樓C41號舖,$50以下,粵菜 (廣東),雲吞/餃子,(67 食評),714,
小肥羊 Little Sheep,15.0,荃灣眾安街55號大鴻輝(荃灣)中心20樓,$101-200,粵菜 (廣東),火鍋,(45 食評),2536,惠顧火鍋可享5人同行1人免費；10人同行2人免費
漁民麵館,14.0,荃灣大河道22-28號榮安大廈地下G舖,$50以下,粵菜 (廣東),粉麵/米線,(20 食評),759,
美心皇宮 Maxim's Palace Chinese Restaurant,11.0,沙田源禾路一號沙田大會堂平台,$101-200,粵菜 (廣東),點心,(40 食評),1147,
友口馥 Friendly Tasty,11.0,大埔北盛街23號瑞安樓地下3號舖,$50以下,潮州菜,小食店,(25 食評),3309,
季季紅風味酒家,103.0,屯門藍地大街1號,$101-200,粵菜 (廣東),燒臘,(173 食評),1861,
翠園 Jade Garden,10.0,太和太和路12號太和廣場第一期3樓302號舖,$101-200,粵菜 (廣東),點心,(28 食評),468,
素食新一代,35.0,荃灣西樓角路荃昌中心昌安商場1樓52&55號,$50以下,粵菜 (廣東),素食,(53 食評),889,
自家麵 Home Noodles,15.0,西貢敬民街9號高勝樓地下G1號舗,$51-100,粵菜 (廣東),拉麵,(19 食評),424,
美心皇宮 Maxim's Palace Chinese Restaurant,76.0,屯門屯喜路3號屯門大會堂,$101-200,粵菜 (廣東),點心,(139 食評),748,
潮江春 Chiuchow Garden Restaurant,18.0,上水龍琛路48號上水匯6樓601號舖,$101-200,潮州菜,點心,(26 食評),752,
廣東名門 Chinese Legend,46.0,屯門三聖邨三聖市場1號地下,$101-200,粵菜 (廣東),海鮮,(88 食評),1802,
稻香 Tao Heung,42.0,荃灣眾安街68號荃灣千色匯I期4樓A號舖,$101-200,粵菜 (廣東),火鍋,(103 食評),1412,
港味 V·Taste,12.0,上水智昌路3號上水中心2樓2228號舖,$51-100,粵菜 (廣東),港式,(27 食評),386,
翠園 Jade Garden,10.0,沙田沙田正街18號新城市廣場一期8樓801A號舖,$101-200,粵菜 (廣東),點心,(34 食評),1832,
新漢記飯店 Sun Hon Kee,49.0,粉嶺聯和墟聯和道5號,$51-100,酒樓,客家菜,(83 食評),2208,
明記,22.0,荃灣鱟地坊68號地下,$50以下,潮州菜,海鮮,(38 食評),1620,
暢和麵家,17.0,大埔寶湖道3號寶湖花園商場二樓222B號舖,$50以下,粵菜 (廣東),粉麵/米線,(24 食評),856,
三小姐海鮮小菜,80.0,大埔鄉事會街8號大埔墟街市及熟食中心2樓CFS35號舖,$101-200,粵菜 (廣東),海鮮,(158 食評),2101,
盈福小館 Fortune House,18.0,馬鞍山鞍祿街18號新港城中心2樓2E-91號舖,$101-200,粵菜 (廣東),中式包點,(24 食評),292,送 25里數 / 30積分
豐生水起,17.0,大埔翠和里5號麗和閣地下F號舖,$101-200,粵菜 (廣東),中菜館,(22 食評),863,
會所1號 萬濤 ClubONE River View,16.0,沙田安平街1號香港沙田萬怡酒店商場1樓,$101-200,粵菜 (廣東),點心,(31 食評),567,
鴻星海鮮酒家 Super Star Seafood Restaurant,12.0,荃灣大壩街4-30號荃灣廣場6樓621-630號舖,$101-200,粵菜 (廣東),點心,(33 食評),760,
回味館,12.0,元朗俊賢坊18號權益大樓11號地下,$50以下,粵菜 (廣東),中菜館,(16 食評),894,
翠園 Jade Garden,12.0,將軍澳唐賢街9號PopCorn商場2樓1-2號舖,$101-200,粵菜 (廣東),點心,(41 食評),1448,
會所1號 愉花園 ClubONE In Bloom,13.0,荃灣青山公路荃灣段398號愉景新城3樓3005號舖,$101-200,粵菜 (廣東),點心,(23 食評),948,
雲泉素食中心 Wun Chuen Vegetarian Centre,55.0,粉嶺打鼓嶺平輋路雲泉仙館,$51-100,粵菜 (廣東),素食,(77 食評),1058,
三哥餃子店,14.0,大埔安泰路1號大埔廣場地下6號2舖,$50以下,粵菜 (廣東),雲吞/餃子,(17 食評),401,
海港燒鵝海鮮酒家 Victoria Harbour Roasted Goose Seafood Restaurant,44.0,馬鞍山鞍駿街1號馬鞍山中心1樓,$101-200,粵菜 (廣東),海鮮,(94 食評),882,
彩福國宴 Choi Fook Luxury Banquet,16.0,大埔寶湖道3號寶湖花園商場2樓,$101-200,粵菜 (廣東),海鮮,(22 食評),338,
和記廚房 Wo Kee Kitchen,17.0,荃灣福來村香車街熟食中心2樓40-42號舖,$51-100,粵菜 (廣東),中菜館,(23 食評),461,
原味專門店,9.0,屯門井財街15號金鉻大廈1樓A舖,$51-100,粵菜 (廣東),拉麵,(23 食評),92,
翠園 Jade Garden,36.0,荃灣楊屋道1號荃新天地一期1樓107號舖,$101-200,粵菜 (廣東),點心,(85 食評),1676,
新明苑宴會廳 Sun Ming Yuen Banquet,10.0,粉嶺馬適路1號逸峯廣場1樓118號,$101-200,粵菜 (廣東),點心,(17 食評),297,
稻香 Tao Heung,19.0,將軍澳貿業路8號新都城中心2期2樓2039-2042號舖,$101-200,粵菜 (廣東),火鍋,(45 食評),561,
富臨皇宮 Fulum Palace,23.0,元朗鳳琴街22號地下,$101-200,粵菜 (廣東),點心,(53 食評),373,
釣魚翁 燒鵝．海鮮飯店 Diaoyuweng Roasted Goose And Seafood Restaurant,12.0,荃灣眾安街68號荃灣千色匯I期5樓5B號舖,$101-200,粵菜 (廣東),燒臘,(24 食評),767,
畔溪尚粵館 Riverside Restaurant,22.0,將軍澳坑口重華路8號東港城2樓235號舖,$51-100,粵菜 (廣東),海鮮,(55 食評),635,
港興大飯店 Kong Hing Restaurant,26.0,大圍村南道79-81號地下,$51-100,酒樓,客家菜,(45 食評),1259,
發記海鮮酒家 Fat Kee Seafood Restaurant,66.0,西貢清水灣布袋澳碼頭7號A舖,$201-400,粵菜 (廣東),海鮮,(118 食評),1036,
全記海鮮菜館 Chuen Kee Seafood Restaurant,75.0,西貢海傍街53號地下,$201-400,粵菜 (廣東),海鮮,(167 食評),692,
京都薈 Capital Canton,18.0,青衣擔桿山路6號長發廣場5樓502號舖,$101-200,粵菜 (廣東),點心,(25 食評),90,
海港酒家 Victoria Harbour Restaurant,9.0,屯門石排頭徑卓爾居第3層312號舖,$201-400,粵菜 (廣東),粵菜 (廣東),(34 食評),495,
富臨皇宮 Fulum Palace,17.0,天水圍天靖街3號天盛商場1樓L116號舖,$101-200,粵菜 (廣東),酒樓,(32 食評),214,
明星皇宮 Star Palace,13.0,元朗阜財街34-36號光華中心2-3樓,$101-200,粵菜 (廣東),點心,(24 食評),384,
德發粥品專家,52.0,荃灣四陂坊9B號地舖,$50以下,粵菜 (廣東),粥品,(117 食評),1190,
名苑酒家 Ming Garden Restaurant,10.0,將軍澳唐俊街12號天晉匯1樓102號舖,$101-200,粵菜 (廣東),點心,(24 食評),691,
食葩,8.0,元朗裕榮徑11號好旺洋樓地下7號舖,$50以下,客家菜,粉麵/米線,(15 食評),813,
稻坊 Tao Square,9.0,荃灣大壩街4-30號荃灣廣場6樓610-613號,$101-200,粵菜 (廣東),火鍋,(28 食評),771,惠顧主餐牌9折（星期一至四）
天天雞煲火鍋專門店 Tin Tin,10.0,元朗水邊圍福田徑2-16號樂富大廈地下11號舖,$51-100,粵菜 (廣東),火鍋,(15 食評),894,
名苑酒家 Ming Garden,12.0,荃灣眾安街68號荃灣千色匯I期5樓5A號舖,$101-200,粵菜 (廣東),點心,(24 食評),713,
海港酒家 Victoria Harbour Restaurant,8.0,上水新豐路98-102號張知行大廈2樓,$101-200,粵菜 (廣東),火鍋,(18 食評),285,
焸 - 帝王蟹海鮮火鍋專門店,12.0,將軍澳唐俊街18號The Parkside地下G09號舖,$101-200,粵菜 (廣東),火鍋,(24 食評),1948,送 25里數 / 30積分
季季紅風味酒家,36.0,荃灣青山公路185-187號荃勝大廈1至2樓,$101-200,粵菜 (廣東),燒臘,(135 食評),1089,
稻香超級漁港 Pier 88,12.0,元朗朗屏商場3樓301號舖,$101-200,粵菜 (廣東),火鍋,(28 食評),403,
稻香超級漁港 Pier 88,9.0,將軍澳坑口培成路8號南豐廣場1樓R3號舖,$101-200,粵菜 (廣東),火鍋,(27 食評),356,
嶺南樓 Lingnan Chinese Restaurant,18.0,屯門嶺南大學康樂樓1樓,$51-100,粵菜 (廣東),點心,(31 食評),502,
老四火鍋小廚,11.0,荃灣香車街街市3樓15-18號舖,$51-100,粵菜 (廣東),火鍋,(19 食評),1537,
真味鮮廚 Taste Full Kitchen,33.0,將軍澳培成路18號海悅豪園商場地下10號,$51-100,粵菜 (廣東),點心,(71 食評),1109,
大力齋廚 Mighty Vegetarian,19.0,屯門石排頭道5號偉昌工業中心A座地下,$51-100,粵菜 (廣東),素食,(29 食評),555,
鳳鳴居 FENG MING HOUSE,12.0,上水馬會道154號地下,$51-100,粵菜 (廣東),車仔麵,(24 食評),576,
咪走雞燒味至尊小廚,23.0,大埔安慈路4號昌運中心1-6號舖,$51-100,粵菜 (廣東),燒臘,(48 食評),312,
經典廚房 Classic Show Room,14.0,屯門屯門鄉事會路2A號 H.A.N.D.S N區2樓N-225號舖,$101-200,粵菜 (廣東),海鮮,(28 食評),411,
稻香超級漁港 Pier 88,75.0,屯門屯隆街2號屯門時代廣場南翼2樓9號舖,$101-200,粵菜 (廣東),火鍋,(133 食評),813,
彩雲軒 VCuisine,12.0,將軍澳唐德街3號香港九龍東智選假日酒店6樓全層,$50以下,粵菜 (廣東),點心,(29 食評),1089,
潮饗 Chao Siang,9.0,將軍澳常寧路10號安寧花園25號地舖,$101-200,中菜館,潮州菜,(17 食評),634,
稻香 Tao Heung,42.0,大埔翠樂街8號富萊花園地下及1樓A舖,$101-200,粵菜 (廣東),火鍋,(80 食評),450,
御苑 China Hall,11.0,葵芳興芳路223號新都會廣場6樓601-610號舖,$101-200,粵菜 (廣東),咪嘥嘢食店,(29 食評),847,
饑落亭,8.0,大埔大明里12號儲金閣地下12-14號舖,$51-100,粵菜 (廣東),大牌檔,(18 食評),918,
邦記海鮮酒家,24.0,流浮山正大街39號地下,$201-400,粵菜 (廣東),海鮮,(40 食評),608,
海皇漁港,37.0,馬鞍山鞍祿街18號新港城中心三期1樓,$101-200,粵菜 (廣東),海鮮,(62 食評),812,
嘉香汕頭魚旦粉麵家,29.0,沙田沙田瀝源村華豐樓2樓1號舖,$50以下,潮州菜,粉麵/米線,(42 食評),490,
富臨皇宮 Fulum Palace,21.0,屯門屯門鄉事會路126號1樓,$101-200,粵菜 (廣東),點心,(43 食評),151,
河畔強記雞粥海鮮酒家 Rivervine Keung Seafood Restaurant,68.0,沙田大涌橋路20-30號河畔花園地下,$101-200,粵菜 (廣東),海鮮,(124 食評),1342,
玉庭 Jade Pavilion,10.0,沙田白鶴汀街8號帝都酒店2樓,$201-400,潮州菜,粵菜 (廣東),(39 食評),441,
東江大飯店,24.0,荃灣沙咀道290號地下,$101-200,客家菜,中菜館,(70 食評),618,
海港酒家 Victoria Harbour Restaurant,10.0,粉嶺聯和墟和滿街8號帝庭軒購物商場1樓34號舖,$101-200,粵菜 (廣東),火鍋,(19 食評),355,
屏山傳統盆菜 Ping Shan Traditional Poon Choi,21.0,元朗屏山屏廈路塘坊村36號地下,$51-100,粵菜 (廣東),粵菜 (廣東),(32 食評),1635,
新順興潮汕滷味專門店,23.0,元朗又新街元新大廈9號地舖,$51-100,潮州菜,外賣店,(43 食評),561,
正宗火鍋點心專門店 Supreme Hot Pot & Dim Sum Specialtis,15.0,荃灣楊屋道69-71號地下,$51-100,粵菜 (廣東),火鍋,(18 食評),566,
陶源酒家 Sportful Garden Restaurant,8.0,荃灣沙咀道6號嘉達環球中心地舖,$201-400,粵菜 (廣東),中式包點,(14 食評),586,
皇朝漁苑 Royal China Aqua Garden,13.0,大埔三門仔路,$101-200,粵菜 (廣東),海鮮,(23 食評),1689,
太爺雞,16.0,大埔汀角路龍尾村19號地下A舖,$51-100,粵菜 (廣東),中菜館,(23 食評),313,
深井陳記燒鵝海鮮酒家,,深井青山公路深井村63號地下,$101-200,粵菜 (廣東),燒臘,(90 食評),702,
歡樂海鮮酒家,41.0,流浮山山東街12號,$401-800,粵菜 (廣東),海鮮,(94 食評),612,
翠園 Jade Garden,10.0,元朗元龍街9號形點一期2樓2039號舖,$101-200,粵菜 (廣東),點心,(32 食評),570,
富記瀨尿蝦專門店,16.0,屯門三聖街1號地下A號舖,$101-200,粵菜 (廣東),海鮮,(17 食評),309,
粥地來記海鮮粥底火鍋,11.0,大埔舊墟直街30號美利大廈地下9號舖,$101-200,粵菜 (廣東),火鍋,(16 食評),936,
大力素食 Mighty Vegetarian,7.0,元朗媽橫路35號福昌樓地下7號舖,$51-100,粵菜 (廣東),素食,(16 食評),595,
潮州仔食堂,12.0,荃灣沙咀道355號地下,$50以下,潮州菜,粉麵/米線,(29 食評),801,
稻香 Tao Heung,50.0,青衣青敬路33號青衣城地下G04號舖,$101-200,粵菜 (廣東),火鍋,(109 食評),736,
譽粵菜 Yu Restaurant,17.0,馬鞍山鞍祿街18號新港城中心3018-20號舖,$51-100,粵菜 (廣東),點心,(33 食評),524,
東哥點心籠仔蒸飯專門店,13.0,元朗教育路104-126號永興樓永興樓地舖,$50以下,粵菜 (廣東),點心,(23 食評),600,
民華魚蛋粉麵 Man Wah Fish Ball Noodle,35.0,大埔廣福里19號地下C舖,$50以下,潮州菜,粉麵/米線,(62 食評),485,
利佳舫避風塘,10.0,荃灣二陂坊28號地舖,$101-200,粵菜 (廣東),火鍋,(16 食評),431,
皇庭匯 Imperial Restaurant,12.0,青衣楓樹窩路10號青衣商場2樓,$101-200,粵菜 (廣東),酒樓,(29 食評),188,
皇庭匯,9.0,粉嶺華明路21號華明商場1樓F03號舖,$101-200,粵菜 (廣東),酒樓,(26 食評),121,
